#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ildo_title;Grand Mayor;;;;;;;;;;;;;x
ildo_foa;My Lord;;;;;;;;;;;;;x
ildo_prefix;Free Cities of;;;;;;;;;;;;;x
kingdom_lyngarian;Arciidom;;;;;;;;;;;;;x
kingdom_of_lyngarian;Arciidom of;;;;;;;;;;;;;x
king_lyngarian;Arcii;;;;;;;;;;;;;x
king_female_lyngarian;Arciide;;;;;;;;;;;;;x
kingdom_cyvodic;Nagyherceg;;;;;;;;;;;;;x
kingdom_of_cyvodic;Nagyherceg of;;;;;;;;;;;;;x
king_cyvodic;Nagyher;;;;;;;;;;;;;x
king_female_cyvodic;Nagyherno;;;;;;;;;;;;;x
kingdom_rassic;Nagyherceg;;;;;;;;;;;;;x
kingdom_of_rassic;Nagyherceg of;;;;;;;;;;;;;x
king_rassic;Nagyher;;;;;;;;;;;;;x
king_female_rassic;Nagyherno;;;;;;;;;;;;;x
kingdom_kaldan;Nagyherceg;;;;;;;;;;;;;x
kingdom_of_kaldan;Nagyherceg of;;;;;;;;;;;;;x
king_kaldan;Nagyher;;;;;;;;;;;;;x
king_female_kaldan;Nagyherno;;;;;;;;;;;;;x
