#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_al_almuhad;Al Almuhad;Al Almuhad;Al Almuhad;;Al Almuhad;;;;;;;;;x
e_al_almuhad_adj;Al Almuhadian;;Al Almuhader;;;;;;;;;;;x
e_aurissos;Aurissos;Aurissos;Aurissos;;Aurissos;;;;;;;;;x
e_aurissos_adj;Aurissosian;;aurissoser;;;;;;;;;;;x
e_carrisia;Carrisia;Carrisia;Carrisia;;Carrisia;;;;;;;;;x
e_carrisia_adj;Carrisian;;carriser;;;;;;;;;;;x
e_sikssayu;Sikssayu;Sikssayu;Sikssayu;;Sikssayu;;;;;;;;;x
e_sikssayu_adj;Sikssaian;;sikssaer;;;;;;;;;;;x
e_transamiran;Transamiran;Transamiran;Transamiran;;Transamiran;;;;;;;;;x
e_transamiran_adj;Transamiranian;;transamiraner;;;;;;;;;;;x
e_valan;Valan;Valan;Valan;;Valan;;;;;;;;;x
e_valan_adj;Valanian;;valaner;;;;;;;;;;;x
