
theodarity_group;Theodarity;;;;;;;;;;;x

peteran_theodarity;Peteran;;;;;;;;;;;x
peteran_theodarity_DESC;PLACEHOLDER;;;;;;;;;;;x

peteran_high_god;Theodore;;;;;;;;;;;x
peteran_evil_god;Richard;;;;;;;;;;;x
peteran_crusade_name;Crusade;;;;;;;;;;;x
peteran_scripture_name;Richard's Diary;;;;;;;;;;;x
peteran_priest_title;High Priest;;;;;;;;;;;x

bogovinist_theodarity;Bogovinist;;;;;;;;;;;x
bogovinist_theodarity_DESC;PLACEHOLDER;;;;;;;;;;;x
bogovinist_high_god;Theodore;;;;;;;;;;;x
bogovinist_evil_god;Richard;;;;;;;;;;;x
bogovinist_crusade_name;Crusade;;;;;;;;;;;x
bogovinist_scripture_name;Richard's Diary;;;;;;;;;;;x
bogovinist_priest_title;High Priest;;;;;;;;;;;x

d_peteran_theodarity;Capital of Peteran Theodarity;;;;;;;;;;;x
peteran_theodarity_pope;High Priest;;;;;;;;;;;x
